,Country,Year,ECCN Code,Description,Rank,Ranking
231,Israel,2018,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
232,Israel,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,8,NLR with ECCN
233,Israel,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,9,NLR with ECCN
234,Israel,2018,3A991,Electronic Devices and Components,10,NLR with ECCN
235,Japan,2018,9A610,Military Aircraft and Related Commodities,1,License
236,Japan,2018,9A515,Spacecraft and Related Commodities,2,License
237,Japan,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,License
238,Japan,2018,3A611,Military Electronics,4,License
239,Japan,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, ...",5,License
240,Japan,2018,7A611,"Navigation and Avionics equipment and systems, and parts",6,License
241,Japan,2018,9A001,Aero Gas Turbine Engines,7,License
242,Japan,2018,7B611,"Test, etc. commodities specially designed for mil. fire control, laser, imaging...",8,License
243,Japan,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",9,License
244,Japan,2018,3B611,"Test, Inspection, and Production Commodities for Military Electronics",10,License
245,Japan,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
246,Japan,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
247,Japan,2018,3A611,Military Electronics,3,Exceptions
248,Japan,2018,9A619,Military Gas Turbine Engines and Related Commodities,4,Exceptions
249,Japan,2018,9A004,Space Launch Vehicles and Spacecraft,5,Exceptions
250,Japan,2018,3A001,Electronic Components,6,Exceptions
251,Japan,2018,8A609,Surface Vessels of War and Related Commodities,7,Exceptions
252,Japan,2018,5B002,"Information Security Test, Inspection and Production Equipment",8,Exceptions
253,Japan,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,9,Exceptions
254,Japan,2018,6A003,Cameras,10,Exceptions
255,Japan,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
